Date,Open,High,Low,Close,Volume
2024-11-07,1630.84,1651.53,1628.78,1638.21,5787295
2024-11-08,1632.72,1637.82,1623.55,1627.81,4199226
2024-11-11,1651.56,1651.72,1630.96,1645.14,5357273
2024-11-12,1626.39,1635.84,1620.24,1628.71,5842296
2024-11-13,1638.12,1645.83,1623.61,1640.21,4839385
2024-11-14,1659.4,1669.61,1656.92,1663.19,5677509
2024-11-15,1665.65,1668.43,1644.85,1659.25,5523394
2024-11-18,1644.3,1646.92,1627.5,1637.06,5238893
2024-11-19,1637.32,1644.5,1629.84,1636.2,5634025
2024-11-20,1621.51,1640.34,1618.89,1629.19,5870162
2024-11-21,1617.72,1619.55,1601.47,1610.95,4096410
2024-11-22,1592.1,1592.29,1587.54,1589.63,5100622
2024-11-25,1603.75,1612.81,1602.17,1602.52,5404765
2024-11-26,1620.95,1632.11,1614.45,1620.64,4907747
2024-11-27,1624.49,1634.21,1619.23,1628.58,4807144
2024-11-28,1616.5,1630.92,1605.01,1611.24,4024421
2024-11-29,1612.69,1631.98,1610.31,1618.25,5823296
2024-12-02,1605.87,1611.01,1591.12,1601.84,4583337
2024-12-03,1575.63,1590.18,1566.23,1580.01,4492830
2024-12-04,1558.98,1568.78,1544.76,1559.85,5045338
2024-12-05,1551.41,1565.09,1546.03,1557.34,4215258
2024-12-06,1545.58,1561.31,1542.89,1552.79,5660489
2024-12-09,1559.55,1564.3,1550.03,1557.69,4433798
2024-12-10,1564.3,1570.32,1561.57,1564.99,5712510
2024-12-11,1551.14,1560.54,1545.24,1551.85,4992233
2024-12-12,1559.9,1569.11,1545.82,1562.04,5381834
2024-12-13,1546.41,1561.72,1545.86,1548.87,4612333
2024-12-16,1549.15,1552.75,1547.55,1551.1,5032684
2024-12-17,1537.53,1548.63,1520.5,1534.2,5281049
2024-12-18,1514.3,1533.02,1502.42,1520.07,5729215
2024-12-19,1536.35,1538.01,1524.05,1533.03,5943276
2024-12-20,1541.87,1543.77,1537.55,1539.22,4959211
2024-12-23,1553.67,1555.76,1538.86,1546.61,5112254
2024-12-24,1558.51,1565.26,1551.22,1557.68,5938546
2024-12-25,1564.64,1567.41,1551.51,1558.07,5531958
2024-12-26,1566.72,1583.3,1560.55,1572.96,4674955
