Date,Open,High,Low,Close,Volume
2024-11-07,2844.79,2866.23,2822.69,2858.37,5544492
2024-11-08,2841.27,2856.76,2822.84,2834.45,4066653
2024-11-11,2798.49,2820.57,2771.25,2806.39,4416992
2024-11-12,2824.83,2836.68,2803.62,2819.15,4583408
2024-11-13,2823.51,2860.38,2814.99,2837.51,4713557
2024-11-14,2816.21,2845.81,2790.92,2824.25,4796765
2024-11-15,2810.0,2826.96,2794.87,2800.27,5530358
2024-11-18,2787.38,2823.68,2761.7,2797.88,4614839
2024-11-19,2820.62,2844.92,2805.37,2817.28,5477594
2024-11-20,2796.25,2817.87,2791.34,2791.75,5793731
2024-11-21,2764.97,2783.76,2754.89,2776.04,4765108
2024-11-22,2752.34,2774.8,2744.13,2756.33,5433503
2024-11-25,2767.93,2772.67,2757.43,2764.92,4342679
2024-11-26,2756.37,2788.29,2747.77,2762.72,4460566
2024-11-27,2782.97,2804.56,2752.08,2773.46,4067319
2024-11-28,2788.51,2793.12,2786.09,2791.27,5189462
2024-11-29,2808.17,2831.83,2791.2,2813.39,5917945
2024-12-02,2811.77,2825.79,2804.6,2821.85,5130317
2024-12-03,2810.13,2835.36,2790.89,2807.75,4459948
2024-12-04,2826.89,2851.15,2819.98,2837.15,5805863
2024-12-05,2817.42,2839.74,2797.57,2813.83,4133227
2024-12-06,2809.7,2822.85,2786.0,2807.01,5160198
2024-12-09,2814.51,2848.71,2805.55,2828.33,5126108
2024-12-10,2850.9,2860.6,2823.18,2843.27,4331680
2024-12-11,2853.39,2878.38,2819.57,2840.5,5049805
2024-12-12,2856.38,2859.42,2845.46,2856.16,5765108
2024-12-13,2867.64,2872.02,2857.71,2864.52,5131159
2024-12-16,2904.08,2930.76,2880.27,2891.87,5024680
2024-12-17,2874.89,2900.16,2857.79,2862.61,4644903
2024-12-18,2839.53,2863.06,2813.37,2846.91,5534921
2024-12-19,2833.81,2867.72,2827.17,2846.07,4269256
2024-12-20,2868.4,2873.14,2842.15,2855.64,5272119
2024-12-23,2842.8,2866.4,2835.13,2851.02,4421844
2024-12-24,2860.91,2883.04,2842.98,2863.8,5886627
2024-12-25,2854.0,2871.3,2835.11,2864.86,5233772
2024-12-26,2870.65,2870.86,2859.73,2868.11,4123467
2024-12-27,2863.31,2887.92,2825.25,2851.75,4499131
2024-12-30,2838.03,2853.75,2830.18,2838.45,5850491
2024-12-31,2841.92,2865.0,2836.44,2842.69,4399318
2025-01-01,2822.89,2832.9,2801.82,2818.41,5811596
2025-01-02,2836.92,2864.84,2806.47,2832.01,4844358
2025-01-03,2854.17,2857.28,2822.61,2845.61,5124672
2025-01-06,2840.31,2850.45,2819.01,2842.53,5936228
2025-01-07,2825.8,2849.99,2791.71,2817.12,5367646
2025-01-08,2856.3,2883.98,2844.64,2846.74,5779843
2025-01-09,2828.29,2844.56,2824.46,2830.94,5892559
2025-01-10,2801.24,2832.27,2780.65,2804.63,5644315
2025-01-13,2815.41,2841.12,2807.82,2821.47,5642828
2025-01-14,2830.95,2835.33,2804.91,2824.78,4122648
2025-01-15,2830.68,2851.85,2802.81,2829.49,5225109
2025-01-16,2839.97,2855.05,2801.43,2828.11,5064993
2025-01-17,2794.3,2819.79,2785.22,2803.11,4493258
2025-01-20,2809.78,2825.79,2785.65,2797.43,4083344
2025-01-21,2802.19,2820.83,2788.82,2804.46,5960221
2025-01-22,2795.07,2803.85,2769.84,2790.33,4274471
2025-01-23,2794.82,2809.27,2787.88,2800.42,4152133
