Date,Open,High,Low,Close,Volume
2024-11-07,3659.24,3685.1,3635.12,3669.69,4776057
2024-11-08,3648.12,3688.94,3633.39,3654.54,5852502
2024-11-11,3606.31,3641.06,3594.55,3618.7,4570641
2024-11-12,3611.44,3636.13,3590.29,3614.19,4452080
2024-11-13,3620.35,3650.01,3594.4,3634.39,5422888
2024-11-14,3642.79,3654.02,3613.42,3641.81,5256875
2024-11-15,3595.61,3640.36,3587.24,3606.27,5602561
2024-11-18,3580.78,3587.22,3571.72,3586.94,4368458
2024-11-19,3558.95,3567.14,3542.09,3557.79,5400998
2024-11-20,3566.34,3612.53,3532.19,3581.67,4039303
2024-11-21,3563.4,3589.71,3543.07,3578.51,4848136
2024-11-22,3591.98,3599.08,3556.81,3594.94,4681088
2024-11-25,3585.06,3601.56,3558.01,3569.09,4758860
2024-11-26,3549.05,3557.69,3522.33,3536.87,5098829
2024-11-27,3517.19,3543.42,3476.93,3504.2,5633928
2024-11-28,3479.08,3483.05,3461.67,3478.71,5899857
2024-11-29,3494.56,3533.31,3482.17,3499.78,4309728
2024-12-02,3467.24,3486.41,3453.46,3479.55,5594287
2024-12-03,3484.45,3532.6,3471.49,3499.31,4972980
2024-12-04,3527.97,3543.81,3516.16,3518.83,5183825
2024-12-05,3547.03,3558.49,3528.83,3529.85,4662991
2024-12-06,3487.73,3518.34,3463.41,3502.85,4576032
2024-12-09,3504.67,3512.47,3485.81,3509.87,4078868
2024-12-10,3487.31,3489.98,3471.06,3475.78,5793680
2024-12-11,3447.81,3461.06,3430.11,3444.57,5660562
2024-12-12,3446.71,3494.08,3431.95,3462.61,4394766
2024-12-13,3448.22,3454.26,3415.87,3449.06,4217059
2024-12-16,3484.28,3518.51,3440.77,3472.57,5355026
2024-12-17,3438.95,3462.74,3419.67,3447.65,5096282
2024-12-18,3451.24,3487.67,3430.1,3455.94,5624170
2024-12-19,3447.07,3474.28,3431.56,3443.7,4138227
2024-12-20,3432.84,3446.11,3405.18,3430.85,5785863
2024-12-23,3456.61,3486.79,3419.67,3442.62,5222093
2024-12-24,3469.36,3480.13,3443.08,3454.97,5388598
2024-12-25,3450.06,3482.42,3422.99,3446.78,4789953
2024-12-26,3451.69,3462.04,3441.44,3457.62,5986230
2024-12-27,3482.16,3500.49,3463.42,3475.72,4887947
2024-12-30,3459.62,3487.1,3457.93,3476.37,4716664
2024-12-31,3509.99,3518.43,3479.72,3510.48,4161826
2025-01-01,3504.83,3522.63,3478.68,3494.76,5549048
2025-01-02,3507.86,3536.02,3499.66,3524.15,4274829
2025-01-03,3519.45,3538.05,3508.64,3531.66,5310175
2025-01-06,3543.69,3571.15,3522.82,3555.59,5418435
2025-01-07,3589.48,3611.39,3563.85,3572.7,5643748
2025-01-08,3569.91,3580.96,3561.87,3568.7,4983597
2025-01-09,3589.28,3624.72,3573.86,3600.3,4923999
